,SNR,BER
0,-5,0.26329367168579554
1,-4,0.23638555355961047
2,-3,0.19880763116057235
3,-2,0.16195609945609946
4,-1,0.1276802123749234
5,0,0.09300055772448411
6,1,0.06308652875882946
7,2,0.03842607533078235
8,3,0.02012139202625736
9,4,0.00879321440251506
10,5,0.0030259034759778833
11,6,0.0007868633935289337
12,7,0.0001480299718599536
13,8,1.7405923740744334e-05
14,9,1.3321034659449498e-06
