,SNR,BER
0,-5,0.21323780279767998
1,-4,0.18845168098899442
2,-3,0.15824947788114677
3,-2,0.13007178526841448
4,-1,0.10315038555111129
5,0,0.0776855908766042
6,1,0.05615946097697923
7,2,0.03715247336434016
8,3,0.022645953168168847
9,4,0.012309328501511585
10,5,0.005922430375908501
11,6,0.0024302494116366174
12,7,0.0007703077780133208
13,8,0.00019389014913177155
14,9,3.353126076521127e-05
15,10,3.84072270971406e-06
